# NAME,VALUE
K1:VIS-ETMX_GASMODAL_MODAL2COIL_2_3,-0.115299969912
K1:VIS-ETMX_GASMODAL_MODAL2COIL_2_4,-0.011199997738
K1:VIS-ETMX_GASMODAL_MODAL2COIL_2_5,0.287300050259
K1:VIS-ETMX_GASMODAL_MODAL2COIL_3_1,1.44090020657
K1:VIS-ETMX_GASMODAL_MODAL2COIL_3_2,-0.145199999213
K1:VIS-ETMX_GASMODAL_MODAL2COIL_3_3,-0.151700004935
K1:VIS-ETMX_GASMODAL_MODAL2COIL_3_4,-0.359100013971
K1:VIS-ETMX_GASMODAL_MODAL2COIL_3_5,-0.0329000018537
K1:VIS-ETMX_GASMODAL_MODAL2COIL_4_1,1.30279994011
K1:VIS-ETMX_GASMODAL_MODAL2COIL_4_2,-0.5325999856
K1:VIS-ETMX_GASMODAL_MODAL2COIL_4_3,-0.41459992528
K1:VIS-ETMX_GASMODAL_MODAL2COIL_4_4,0.230299964547
K1:VIS-ETMX_GASMODAL_MODAL2COIL_4_5,-0.0766999870539
K1:VIS-ETMX_GASMODAL_MODAL2COIL_5_1,1.35230004787
K1:VIS-ETMX_GASMODAL_MODAL2COIL_5_2,-0.942700147629
K1:VIS-ETMX_GASMODAL_MODAL2COIL_5_3,0.740300118923
K1:VIS-ETMX_GASMODAL_MODAL2COIL_5_4,-0.103899985552
K1:VIS-ETMX_GASMODAL_MODAL2COIL_5_5,0.0324000045657
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_1_1,2.65349984169
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_1_2,1.37259995937
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_1_3,1.40780007839
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_1_4,0.877400159836
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_1_5,0.839200019836
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_2_1,1.16279995441
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_2_2,0.148099988699
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_2_3,-0.286099970341
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_2_4,-0.431399941444
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_2_5,-0.535799980164
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_3_1,0.400400042534
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_3_2,-0.230000004172
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_3_3,-0.660799980164
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_3_4,-0.274899989367
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_3_5,0.40399992466
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_4_1,0.103500001132
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_4_2,0.0479000024498
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_4_3,-0.535099983215
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_4_4,0.137299999595
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_4_5,0.0135000012815
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_5_1,-0.0756999999285
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_5_2,0.215599998832
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_5_3,-0.0541999973357
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_5_4,-0.0197000000626
K1:VIS-ETMX_GASMODAL_LVDT2MODAL_5_5,0.00340000074357
K1:VIS-ETMX_BF_SENSALIGN_1_1,1.0
K1:VIS-ETMX_BF_SENSALIGN_1_2,0.0
K1:VIS-ETMX_BF_SENSALIGN_1_3,0.0
K1:VIS-ETMX_BF_SENSALIGN_1_4,0.0
K1:VIS-ETMX_BF_SENSALIGN_1_5,0.0
K1:VIS-ETMX_BF_SENSALIGN_1_6,0.0
K1:VIS-ETMX_BF_SENSALIGN_2_1,0.0
K1:VIS-ETMX_BF_SENSALIGN_2_2,1.0
K1:VIS-ETMX_BF_SENSALIGN_2_3,0.0
K1:VIS-ETMX_BF_SENSALIGN_2_4,0.0
K1:VIS-ETMX_BF_SENSALIGN_2_5,0.0
K1:VIS-ETMX_BF_SENSALIGN_2_6,0.0
K1:VIS-ETMX_BF_SENSALIGN_3_1,0.0
K1:VIS-ETMX_BF_SENSALIGN_3_2,0.0
K1:VIS-ETMX_BF_SENSALIGN_3_3,1.0
K1:VIS-ETMX_BF_SENSALIGN_3_4,0.0
K1:VIS-ETMX_BF_SENSALIGN_3_5,0.0
K1:VIS-ETMX_BF_SENSALIGN_3_6,0.0
K1:VIS-ETMX_BF_SENSALIGN_4_1,0.0
K1:VIS-ETMX_BF_SENSALIGN_4_2,0.0
K1:VIS-ETMX_BF_SENSALIGN_4_3,0.0
K1:VIS-ETMX_BF_SENSALIGN_4_4,1.0
K1:VIS-ETMX_BF_SENSALIGN_4_5,0.0
K1:VIS-ETMX_BF_SENSALIGN_4_6,0.0
K1:VIS-ETMX_BF_SENSALIGN_5_1,0.0
K1:VIS-ETMX_BF_SENSALIGN_5_2,0.0
K1:VIS-ETMX_BF_SENSALIGN_5_3,0.0
K1:VIS-ETMX_BF_SENSALIGN_5_4,0.0
K1:VIS-ETMX_BF_SENSALIGN_5_5,1.0
K1:VIS-ETMX_BF_SENSALIGN_5_6,0.0
K1:VIS-ETMX_BF_SENSALIGN_6_1,0.0
K1:VIS-ETMX_BF_SENSALIGN_6_2,0.0
K1:VIS-ETMX_BF_SENSALIGN_6_3,0.0
K1:VIS-ETMX_BF_SENSALIGN_6_4,0.0
K1:VIS-ETMX_BF_SENSALIGN_6_5,0.0
K1:VIS-ETMX_BF_SENSALIGN_6_6,1.0
K1:VIS-ETMX_BF_SENS2EUL_1_1,0.0
K1:VIS-ETMX_BF_SENS2EUL_1_2,0.0
K1:VIS-ETMX_BF_SENS2EUL_1_3,0.0
K1:VIS-ETMX_BF_SENS2EUL_1_4,-0.666000008583
K1:VIS-ETMX_BF_SENS2EUL_1_5,0.333300054073
K1:VIS-ETMX_BF_SENS2EUL_1_6,0.333300054073
K1:VIS-ETMX_BF_SENS2EUL_2_1,0.0
K1:VIS-ETMX_BF_SENS2EUL_2_2,0.0
K1:VIS-ETMX_BF_SENS2EUL_2_3,0.0
K1:VIS-ETMX_BF_SENS2EUL_2_4,0.0
K1:VIS-ETMX_BF_SENS2EUL_2_5,0.577300012112
K1:VIS-ETMX_BF_SENS2EUL_2_6,-0.577300012112
K1:VIS-ETMX_BF_SENS2EUL_3_1,0.333300054073
K1:VIS-ETMX_BF_SENS2EUL_3_2,0.333300054073
K1:VIS-ETMX_BF_SENS2EUL_3_3,0.333300054073
K1:VIS-ETMX_BF_SENS2EUL_3_4,0.0
K1:VIS-ETMX_BF_SENS2EUL_3_5,0.0
K1:VIS-ETMX_BF_SENS2EUL_3_6,0.0
K1:VIS-ETMX_BF_SENS2EUL_4_1,0.915750265121
K1:VIS-ETMX_BF_SENS2EUL_4_2,0.915750265121
K1:VIS-ETMX_BF_SENS2EUL_4_3,-1.83150053024
K1:VIS-ETMX_BF_SENS2EUL_4_4,0.0
K1:VIS-ETMX_BF_SENS2EUL_4_5,0.0
K1:VIS-ETMX_BF_SENS2EUL_4_6,0.0
K1:VIS-ETMX_BF_SENS2EUL_5_1,1.58612012863
K1:VIS-ETMX_BF_SENS2EUL_5_2,-1.58612012863
K1:VIS-ETMX_BF_SENS2EUL_5_3,0.0
K1:VIS-ETMX_BF_SENS2EUL_5_4,0.0
K1:VIS-ETMX_BF_SENS2EUL_5_5,0.0
K1:VIS-ETMX_BF_SENS2EUL_5_6,0.0
K1:VIS-ETMX_BF_SENS2EUL_6_1,0.0
K1:VIS-ETMX_BF_SENS2EUL_6_2,0.0
K1:VIS-ETMX_BF_SENS2EUL_6_3,0.0
K1:VIS-ETMX_BF_SENS2EUL_6_4,0.817000150681
K1:VIS-ETMX_BF_SENS2EUL_6_5,0.817000150681
K1:VIS-ETMX_BF_SENS2EUL_6_6,0.817000150681
K1:VIS-ETMX_BF_SEISALIGN_1_1,1.0
K1:VIS-ETMX_BF_SEISALIGN_1_2,0.0
K1:VIS-ETMX_BF_SEISALIGN_1_3,0.0
K1:VIS-ETMX_BF_SEISALIGN_2_1,0.0
